HospitalName,Address,District,,
"CCC - GOVT. ARTS COLLEGE, PALLADAM","Palladam,Palladam",Tiruppur,,
CCC - GOVT. ITI DHARAPURAM,"DHARAPURAM,Dharapuram",Tiruppur,,
 CCC - Gudimangalam,,Tiruppur,,
"CCC - Indian Hospital,Udumalpet Tiruppur TN.","NO 01 KATCHERI STREET COURT ROAD,SARAVANA LAYOUT,UDUMALPET,Udumalpet",Tiruppur,,
CCC - Jaivabhai school,"63, Rayapuram,Tiruppur South",Tiruppur,,
CHC - Jallipatti GH,"Govt hospital road, ,Jallipatti,P.U.E.School,Madathukkulam",Tiruppur,,
CHC - Kangeyam GH,"Bus stand opposite, Tiruppur Road, Kangayam. Tiruppur (Dt), Pin: 638701,Kangayam,Kangeyam",Tiruppur,,
CHC - Karadivavi GH,"\""door no 5/84,karadivavi\",chettipalayam,,
CHC - Kongu Heart Centre,,Tiruppur,,
" CHC - Kongu Medical Center, Kangayam","145,palayakottai road,kangeyam,Kangeyam",Tiruppur,,
 CCC - Kumaralingam,,Tiruppur,,
"CCC - Kumaran College For Women CCC, Tiruppur","Mangalam Road, ,S.R.Nagar,Tiruppur South",Tiruppur,,
 CCC - Kunnathur,,Tiruppur,,
CHO - L.G. Medical Centre,"NO : 185/10 VM GARDENS,KANGEYAM ROAD,NALLUR,Tiruppur South",Tiruppur,,
"CCC - MAHARAJA ENGINEERING COLLEGE, AVINASHI","Palankarai Village,Avinashi (TK), Coimbatore, Avinashi, Tamil Nadu 641654,Avinashi",Tiruppur,,
CHC - Madathukulam GH,"Palani Road,Madathukulam,Tiruppur South",Tiruppur,,
CHO - Malarpriya Hospital,,Tiruppur,,
 CCC - Moolanur,,Tiruppur,,
 CCC - Nathakadaiyur,,Tiruppur,,
CHO - OMS hospital,"NO.4/490 A, BHARATHI NAGAR, PALLADAM ROAD,TIRUPUR,TIRUPUR,Tiruppur South",Tiruppur,,
CCC - PALANIAMMAL HR.SEC.SCHOOL,"53, Mariamman Koil Street, Noyyal,,Tiruppur South",Tiruppur,,
CHC - Palladam GH,"MULLAI NAGAR,Trichi main road,Palladam,Palladam",Tiruppur,,
 CCC - Perumanallur,,Tiruppur,,
 CCC - Pongalur,,Tiruppur,,
 CCC - Ponnapuram,,Tiruppur,,
"CHC - R.R. Medical Centre, Cheyur","OPP POLICE STATION , RAJA STREET,CHEYUR,Avinashi",Tiruppur,,
" CHC - Rams Multi Speciality Centre, Avinashi Road",,Tiruppur,,
" CHC - Rams Multispeciality Centre, Tirupur TN.",,Tiruppur,,
"CHC - Revathi Medical Centre, Tirupur TN.","No.10,  Kumar nagar west, Palayangadu, Tirupur - 642603,Tiruppur North",Tiruppur,,
" CHC - S V Clinic, Palladam",,Tiruppur,,
CHO - SREE SARAN MEDICAL CENTER,"POYAMPALAYAM PIRIVU,P.N ROAD, , POYAMPALAYAM, P.N ROAD, ,Tiruppur North",Tiruppur,,
 CCC - ST JOSEPH COLL SIDDHA CCC,"Kangeyam Road,Sathyamurthy Nagar,Tiruppur South",Tiruppur,,
CHC - Sakthi Nursing home,"COTTON MILL ROAD,NEAR NEW BUS STAND,TIRUPPUR,Tiruppur North",Tiruppur,,
