"District" "HospitalName"
"Thiruchirappalli" "CHO - Harshmitra Oncology Pvt Ltd, Nagamangalam"
"Thiruchirappalli" "CCC - Inamkolathur"
"Thiruchirappalli" "CHO - Indiraa Seshadri Nursing Home"
"Thiruchirappalli" "CHC - Indiraa Seshadri Nursing Home, Raja Colony"
"Thiruchirappalli" "CHO - JAGADHA HOSPITAL"
"Thiruchirappalli" "CHC - Jagadha Hospital,Thillai Nagar"
"Thiruchirappalli" "CHC - Jai Hospital,Kovilpatti"
"Thiruchirappalli" "CHO - KMC specialty Hospital trichy"
"Thiruchirappalli" "CHO - Kanapathy Memorial Hospital, Musiri"
"Thiruchirappalli" "CHO - Kathir Hospital, Woraiyur"
"Thiruchirappalli" "CCC - Kattuputhur"
"Thiruchirappalli" "CHO - Kauvery Hospital Heartcity(A Unit of Sri Kauvery Medical Care India Ltd)"
"Thiruchirappalli" "CHO - Kauvery Hospital, Tennur, Thiruchirappalli"
"Thiruchirappalli" "CHC - Kavi Hospital & Neuro Foundation"
"Thiruchirappalli" "CCC - Kulumani"
"Thiruchirappalli" "CCC - Kurinji College of Enginnerring,  Karattupatty"
"Thiruchirappalli" "CHO - L G NURSING HOME"
"Thiruchirappalli" "CHO - LM Hospital Thuraiyur Trichy"
"Thiruchirappalli" "CHO - MAX CARE  HOSPITAL"
"Thiruchirappalli" "CHO - MGM GH Trichy"
"Thiruchirappalli" "CHO - MMM Multi Speciality Hospital"
"Thiruchirappalli" "CHC - Manapparai HQH"
"Thiruchirappalli" "CHO - Mangalam Hospital"
"Thiruchirappalli" "CHC - Marudhu Hospital, Thuraiyur"
"Thiruchirappalli" "CHO - Marudhu hospital Thuraiyur"
"Thiruchirappalli" "CHC - Maruti Hospital,Thennur"
"Thiruchirappalli" "CHO - Mathuram Hospital "
"Thiruchirappalli" "CCC - Navalpattu"
"Thiruchirappalli" "CCC - Nehru Memorial Arts and Science College , Puthanampatti"
"Thiruchirappalli" "CHC - Neuro One Hospital, Karur Bye Pass Road"
